# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/cordon_jc/prosite_alignments_for_logos/hmmer_hhm/PS00108.msa.hmm
# target sequence database:        /home/cordon_jc/kinases_IPR000719 (2).fasta
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       PS00108  [M=13]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence                                          Description
    ------- ------ -----    ------- ------ -----   ---- --  --------                                          -----------
    2.7e-13   46.7   3.9    3.8e-06   24.3   0.5    2.7  2  P10666|reviewed|Ribosomal                          protein S6 kinase 2 beta|taxID:8
    2.8e-13   46.6   2.9    6.7e-06   23.5   0.3    2.8  2  Q6PFQ0|reviewed|Ribosomal                          protein S6 kinase alpha-6|taxID:
      3e-13   46.5   2.9      7e-06   23.5   0.3    2.8  2  Q7TPS0|reviewed|Ribosomal                          protein S6 kinase alpha-6|taxID:
    3.2e-13   46.4   3.9    4.6e-06   24.0   0.5    2.8  2  P10665|reviewed|Ribosomal                          protein S6 kinase 2 alpha|taxID:
    3.5e-13   46.3   3.9    4.5e-06   24.1   0.5    2.7  2  P18653|reviewed|Ribosomal                          protein S6 kinase alpha-1|taxID:
    3.6e-13   46.2   3.9    4.6e-06   24.0   0.5    2.7  2  Q63531|reviewed|Ribosomal                          protein S6 kinase alpha-1|taxID:
    3.7e-13   46.2   3.9    4.6e-06   24.0   0.5    2.7  2  Q15418|reviewed|Ribosomal                          protein S6 kinase alpha-1|taxID:
    3.8e-13   46.2   3.9    4.6e-06   24.0   0.5    2.6  2  Q15349|reviewed|Ribosomal                          protein S6 kinase alpha-2|taxID:
    3.9e-13   46.1   3.9    4.7e-06   24.0   0.5    2.7  2  P18652|reviewed|Ribosomal                          protein S6 kinase 2 alpha|taxID:
      4e-13   46.1   3.9    4.6e-06   24.0   0.5    2.6  2  Q9WUT3|reviewed|Ribosomal                          protein S6 kinase alpha-2|taxID:
    4.1e-13   46.1   3.9    4.6e-06   24.0   0.5    2.6  2  P51812|reviewed|Ribosomal                          protein S6 kinase alpha-3|taxID:
    4.1e-13   46.1   3.9    4.6e-06   24.0   0.5    2.6  2  P18654|reviewed|Ribosomal                          protein S6 kinase alpha-3|taxID:
      1e-12   44.8   4.9    8.3e-06   23.2   0.5    3.4  2  Q54C38|reviewed|Probable                           serine/threonine-protein kinase 
    4.9e-12   42.7   4.9    2.2e-06   25.0   0.4    2.6  2  Q18846|reviewed|Putative                           ribosomal protein S6 kinase alph
    7.7e-12   42.1   8.0    6.8e-06   23.5   0.3    3.1  2  Q9UK32|reviewed|Ribosomal                          protein S6 kinase alpha-6|taxID:
    1.3e-11   41.3   3.9      5e-06   23.9   0.2    2.4  2  O75676|reviewed|Ribosomal                          protein S6 kinase alpha-4|taxID:
    1.4e-11   41.3   3.9      5e-06   23.9   0.2    2.4  2  Q9Z2B9|reviewed|Ribosomal                          protein S6 kinase alpha-4|taxID:
    1.9e-11   40.9   4.9    1.5e-05   22.5   0.1    2.7  2  Q5F3L1|reviewed|Ribosomal                          protein S6 kinase alpha-5|taxID:
    1.9e-11   40.8   4.9    1.5e-05   22.4   0.1    2.7  2  O75582|reviewed|Ribosomal                          protein S6 kinase alpha-5|taxID:
      2e-11   40.8   4.9    1.5e-05   22.4   0.1    2.6  2  Q5R4K3|reviewed|Ribosomal                          protein S6 kinase alpha-5|taxID:
    2.3e-11   40.6   4.9    1.6e-05   22.3   0.1    2.7  2  Q8C050|reviewed|Ribosomal                          protein S6 kinase alpha-5|taxID:
    1.2e-10   38.4   2.5     0.0002   18.9   1.0    2.7  2  Q9V3I5|reviewed|Chromosomal                        serine/threonine-protein kinase 
    2.2e-10   37.5  11.1    6.4e-06   23.6   1.0    3.1  2  Q54B48|reviewed|Probable                           serine/threonine-protein kinase 
    8.2e-10   35.8   6.4    1.9e-05   22.1   0.5    3.2  2  Q7T6Y2|reviewed|Putative                           serine/threonine-protein kinase/
    1.1e-09   35.4   7.9    9.5e-06   23.0   1.1    3.0  2  Q5UQG7|reviewed|Putative                           serine/threonine-protein kinase/
    4.7e-09   33.4   7.2    1.1e-05   22.8   1.7    3.0  2  Q7T6X2|reviewed|Putative                           serine/threonine-protein kinase/
    1.4e-08   31.9   4.2    4.1e-05   21.1   0.6    2.9  2  Q558U1|reviewed|Probable                           serine/threonine-protein kinase 
      1e-07   29.2   9.7    0.00019   19.0   1.2    2.7  2  Q696W0|reviewed|Striated                           muscle preferentially expressed 
    2.3e-07   28.1   0.9    5.5e-07   26.9   0.9    1.7  1  Q9VKN7|reviewed|Aurora                             kinase B|taxID:7227
    2.3e-07   28.1   0.8    7.4e-07   26.5   0.8    2.0  1  P75524|reviewed|Putative                           serine/threonine-protein kinase|
